Time,Smile,AU04,AU02,AU15,Trackerfail,AU18,AU09,negAU12,AU10,Expressive,Unilateral_LAU12,Unilateral_RAU12,AU14,Unilateral_LAU14,Unilateral_RAU14,AU05,AU17,AU26,Forward,Backward
20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.5,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
47.5,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,25,0,0
47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
50.6,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,25,0,0
51.2,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
54.8,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,25,0,0
55.9,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0
60.3,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,33.333,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
62.1,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
8.6,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
9.4,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
9.5,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
9.6,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
10.6,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
12.1,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
13.6,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
15.1,1,0,0,0,20,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
15.7,1,0,0,0,20,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
16.8,1,0,0,0,20,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
17.8,1,0,0,0,20,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
18.7,1,0,0,0,40,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
19.4,0,0,0,0,40,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
20.7,0,0,0,0,40,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
21.7,0,0,0,0,40,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
22.9,0,0,0,0,40,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
23.1,0,0,0,0,40,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
23.9,0,0,0,0,40,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
24.6,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.8,0,0,0,0,40,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
24.9,0,0,0,0,60,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
25.2,0,0,33.333,0,60,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
25.4,0,0,33.333,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.7,0,0,33.333,0,60,0,0,0,0,0,0,0,0,0,0,0,0,33.333,0,0
